客户ID,消费金额,购买次数,最近购买天数,平均订单金额,注册天数
C001,1250.50,15,5,83.37,180
C002,890.30,8,12,111.29,120
C003,2100.80,25,2,84.03,365
C004,450.20,5,30,90.04,60
C005,1680.60,18,8,93.37,240
C006,320.90,3,45,106.97,30
C007,2890.40,32,1,90.33,450
C008,750.10,9,15,83.34,150
C009,1520.70,20,4,76.04,300
C010,680.50,7,20,97.21,90
C011,1980.20,22,3,90.01,380
C012,420.60,4,35,105.15,45
C013,2340.90,28,1,83.60,420
C014,560.30,6,25,93.38,75
C015,1720.80,19,6,90.57,280
C016,380.40,3,50,126.80,25
C017,2560.10,30,2,85.34,500
C018,820.70,10,18,82.07,180
C019,1450.20,17,7,85.31,320
C020,490.80,5,40,98.16,55
C021,2200.50,26,2,84.63,400
C022,610.20,6,22,101.70,85
C023,1890.40,21,4,90.02,360
C024,440.90,4,38,110.23,50
C025,2750.60,33,1,83.35,550
C026,720.30,8,16,90.04,140
C027,1630.80,18,5,90.60,290
C028,510.50,5,28,102.10,65
C029,2010.20,23,3,87.40,390
C030,370.60,3,48,123.53,22
C031,2410.90,27,1,89.29,480
C032,680.20,7,19,97.17,100
C033,1780.50,20,4,89.03,340
C034,460.70,4,32,115.18,48
C035,2620.30,31,2,84.53,520
C036,790.40,9,14,87.82,160
C037,1560.10,17,6,91.77,310
C038,530.80,5,26,106.16,70
C039,2140.60,24,2,89.19,410
C040,410.30,4,42,102.58,40
C041,2480.20,29,1,85.52,490
C042,650.90,7,21,92.99,95
C043,1920.70,22,3,87.30,370
C044,480.40,4,36,120.10,52
C045,2680.50,32,1,83.77,530
C046,760.20,8,17,95.03,145
C047,1690.80,19,5,89.00,330
C048,550.60,5,24,110.12,68
C049,2070.30,23,3,90.01,400
C050,390.70,3,46,130.23,28
